From_Boundary,Cottonwood,Crestview,Driggs,Eastwood,Morningside_ALC,Morningside_DLI,Morningside_Traditional,Oakridge,Oakwood_DLI,Oakwood_Traditional,Penn_DLI,Penn_Traditional,Rosecrest,Upland Terrace,Academy Park Elementary,Alternative 3-A Elementary,Arcadia Elementary,Granger Elementary,Hartvigsen School,Lincoln,Moss,Woodstock
COTTONWOOD,233,0,4,1,14,2,2,1,1,2,7,4,1,1,0,0,0,0,0,1,1,1
CRESTVIEW,1,430,9,3,9,9,7,3,3,6,18,8,1,6,0,0,0,0,0,0,1,1
DRIGGS,10,12,341,2,9,22,7,3,2,0,9,2,0,6,0,0,0,0,0,3,1,1
EASTWOOD,0,0,1,125,5,4,1,26,0,1,2,0,0,5,0,0,0,0,0,0,1,0
MORNINGSIDE,2,0,33,29,24,86,79,25,0,1,6,0,4,15,0,2,0,0,0,2,2,5
OAKRIDGE,2,0,0,5,17,14,5,181,2,0,1,0,0,3,0,0,0,0,0,1,3,1
OAKWOOD,45,1,9,1,3,6,0,2,70,259,8,2,0,3,1,13,1,1,1,1,4,44
PENN,4,11,4,12,9,1,6,0,3,4,181,92,7,6,0,0,0,0,0,6,22,1
ROSECREST,1,2,1,10,13,12,4,1,2,0,30,1,237,5,0,0,0,0,0,2,1,0
UPLAND TERRACE,2,1,0,12,20,11,11,3,0,0,10,2,1,322,0,0,0,0,0,2,2,1
ACADEMY PARK,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCADIA,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
ARMSTRONG,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BACCHUS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BRIDGER,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAMOND RIDGE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNSWORTH,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FREMONT,0,2,0,0,0,1,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0
FROST,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GRANGER,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HILLSDALE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JACKLING,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKE RIDGE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINCOLN,1,3,10,7,1,7,8,0,1,7,47,23,9,22,0,0,0,0,0,0,0,0
MAGNA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSS,5,3,10,4,1,8,3,1,15,16,38,10,4,12,0,0,0,0,0,13,0,0
OLENE WALKER,1,1,0,4,1,0,1,6,1,4,11,2,1,1,0,0,0,0,0,0,0,0
ORCHARD,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of District,28,7,8,30,14,56,3,17,32,52,44,6,15,10,0,0,0,0,0,0,0,0
PIONEER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PLYMOUTH,0,0,1,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
REDWOOD,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ROLLING MEADOWS,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SILVER HILLS,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMITH,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
SOUTH KEARNS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STANSBURY,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TAYLORSVILLE,0,0,0,0,0,3,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
TRUMAN,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
VALLEY CREST,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VISTA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITTIER,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WILSON,0,0,0,11,1,7,3,2,6,3,12,8,5,16,0,0,0,0,0,0,0,0
WOODSTOCK,1,1,0,0,2,11,1,3,10,20,6,0,0,5,0,0,0,0,0,0,0,0
